"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 18일","93.43","106.86","107.68","83.20","237.51K","-12.48%"
"2021년 04월 17일","106.76","114.75","117.19","106.12","130.02K","-7.00%"
"2021년 04월 16일","114.80","107.38","119.59","100.67","212.63K","7.11%"
"2021년 04월 15일","107.18","108.51","108.96","103.21","123.30K","-1.22%"
"2021년 04월 14일","108.50","109.69","111.74","101.95","172.52K","-1.02%"
"2021년 04월 13일","109.62","105.30","111.52","99.29","177.48K","4.12%"
"2021년 04월 12일","105.29","113.16","113.75","102.98","164.66K","-6.82%"
"2021년 04월 11일","112.99","106.59","121.25","105.48","184.12K","5.99%"
"2021년 04월 10일","106.61","102.25","117.96","96.44","327.34K","4.68%"
"2021년 04월 09일","101.84","102.01","114.25","93.01","382.55K","-0.17%"
"2021년 04월 08일","102.01","80.12","105.01","72.55","416.55K","27.28%"
"2021년 04월 07일","80.15","70.43","109.18","68.63","657.08K","13.79%"
"2021년 04월 06일","70.43","46.92","74.81","45.85","465.15K","49.84%"
"2021년 04월 05일","47.01","40.53","49.02","39.59","199.32K","15.99%"
"2021년 04월 04일","40.53","37.14","40.89","36.40","137.47K","9.13%"
"2021년 04월 03일","37.14","38.77","42.53","35.78","210.48K","-4.00%"
"2021년 04월 02일","38.68","38.58","39.81","37.50","156.54K","0.34%"
"2021년 04월 01일","38.55","39.22","40.19","37.30","141.05K","-1.70%"
"2021년 03월 31일","39.22","35.98","39.50","35.73","217.18K","9.24%"
"2021년 03월 30일","35.90","34.61","36.19","33.64","154.26K","3.75%"
"2021년 03월 29일","34.61","32.54","34.70","31.70","135.25K","6.35%"
"2021년 03월 28일","32.54","33.17","33.49","32.10","110.87K","-1.88%"
"2021년 03월 27일","33.16","32.40","34.47","32.28","159.14K","2.36%"
"2021년 03월 26일","32.40","30.02","32.43","29.90","125.72K","8.14%"
"2021년 03월 25일","29.96","30.66","31.87","29.08","188.68K","-2.28%"
"2021년 03월 24일","30.66","33.07","34.19","30.08","157.65K","-7.24%"
"2021년 03월 23일","33.05","30.19","43.22","29.89","322.87K","9.49%"
"2021년 03월 22일","30.19","29.07","34.49","28.55","223.68K","3.85%"
"2021년 03월 21일","29.07","30.14","30.69","28.56","123.64K","-3.48%"
"2021년 03월 20일","30.12","30.19","32.54","30.04","153.36K","-0.24%"
"2021년 03월 19일","30.19","30.34","31.27","29.59","138.38K","-0.51%"
"2021년 03월 18일","30.34","31.28","31.79","30.11","142.58K","-3.01%"
"2021년 03월 17일","31.28","30.54","31.42","29.01","135.69K","2.45%"
"2021년 03월 16일","30.54","29.81","30.61","28.27","159.32K","2.43%"
"2021년 03월 15일","29.81","32.63","33.15","29.29","235.34K","-8.64%"
"2021년 03월 14일","32.63","35.66","36.12","32.63","148.53K","-8.49%"
"2021년 03월 13일","35.66","32.22","36.55","30.59","192.00K","10.67%"
"2021년 03월 12일","32.22","33.84","33.99","31.83","172.46K","-4.86%"
"2021년 03월 11일","33.87","34.56","34.99","32.63","201.95K","-2.04%"
"2021년 03월 10일","34.57","31.01","35.79","29.18","272.89K","11.48%"
"2021년 03월 09일","31.01","29.43","31.11","28.95","195.11K","5.39%"
"2021년 03월 08일","29.43","28.85","29.74","28.14","170.46K","1.99%"
"2021년 03월 07일","28.85","27.81","29.44","27.77","180.67K","3.74%"
"2021년 03월 06일","27.81","27.41","28.91","26.61","174.55K","1.44%"
"2021년 03월 05일","27.42","27.36","28.10","25.85","166.70K","0.31%"
"2021년 03월 04일","27.33","27.99","29.21","26.91","189.06K","-2.34%"
"2021년 03월 03일","27.99","26.34","30.60","26.16","173.88K","6.21%"
"2021년 03월 02일","26.35","26.39","27.62","25.65","159.93K","-0.16%"
"2021년 03월 01일","26.39","23.88","26.48","23.88","181.96K","10.49%"
"2021년 02월 28일","23.89","25.76","25.99","22.21","211.90K","-7.28%"
"2021년 02월 27일","25.76","25.76","27.24","25.29","177.49K","0.02%"
"2021년 02월 26일","25.76","26.19","28.32","24.00","236.10K","-1.69%"
"2021년 02월 25일","26.20","27.48","29.05","26.10","224.66K","-4.55%"
"2021년 02월 24일","27.45","26.49","29.70","25.65","288.11K","3.65%"
"2021년 02월 23일","26.48","33.20","33.24","21.23","370.55K","-20.22%"
"2021년 02월 22일","33.20","32.22","36.42","28.11","353.58K","2.80%"
"2021년 02월 21일","32.29","25.63","36.69","25.30","314.58K","26.01%"
"2021년 02월 20일","25.63","27.52","27.74","25.18","146.53K","-6.87%"
"2021년 02월 19일","27.52","26.12","28.64","24.94","192.09K","5.34%"
"2021년 02월 18일","26.12","27.11","27.75","25.61","178.53K","-3.61%"
"2021년 02월 17일","27.10","26.11","28.25","25.41","182.55K","3.73%"
"2021년 02월 16일","26.13","27.79","28.92","25.92","248.83K","-5.98%"
"2021년 02월 15일","27.79","26.64","32.27","24.75","498.46K","4.05%"
"2021년 02월 14일","26.71","17.54","26.84","17.53","483.16K","52.26%"
"2021년 02월 13일","17.54","15.29","17.82","14.97","377.31K","14.76%"
"2021년 02월 12일","15.29","15.21","15.65","14.56","247.82K","0.65%"
"2021년 02월 11일","15.19","14.35","15.72","14.25","291.36K","5.85%"
"2021년 02월 10일","14.35","14.23","14.92","13.15","285.43K","0.85%"
"2021년 02월 09일","14.23","13.60","14.49","13.36","274.99K","4.73%"
"2021년 02월 08일","13.58","12.20","13.74","11.92","202.20K","11.33%"
"2021년 02월 07일","12.20","12.68","12.75","11.60","169.41K","-3.74%"
"2021년 02월 06일","12.68","11.99","13.74","11.90","256.00K","5.76%"
"2021년 02월 05일","11.99","11.02","12.14","10.99","152.42K","8.81%"
"2021년 02월 04일","11.02","11.57","11.71","10.94","160.99K","-4.76%"
"2021년 02월 03일","11.57","11.15","11.60","11.00","136.70K","3.71%"
"2021년 02월 02일","11.15","10.61","11.20","10.54","151.36K","5.08%"
"2021년 02월 01일","10.61","10.43","11.15","10.23","207.84K","1.73%"
"2021년 01월 31일","10.43","10.85","10.94","10.20","194.87K","-3.70%"
"2021년 01월 30일","10.83","10.96","11.18","10.54","213.33K","-1.18%"
"2021년 01월 29일","10.96","10.50","12.55","10.11","325.30K","4.44%"
"2021년 01월 28일","10.50","9.64","10.81","9.48","171.48K","8.92%"
"2021년 01월 27일","9.64","10.64","10.66","9.36","172.00K","-9.41%"
